"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 06 13:47:52 GMT 2023","Sun Aug 06 13:47:52 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateTransaction","validateTransaction",""
"passed","Sun Aug 06 13:47:52 GMT 2023","Sun Aug 06 13:47:52 GMT 2023","10","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateCard","validateCard",""
"passed","Sun Aug 06 13:47:52 GMT 2023","Sun Aug 06 13:47:52 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Sun Aug 06 13:47:52 GMT 2023","Sun Aug 06 13:47:52 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","rollbackATransaction","rollbackATransaction",""
"passed","Sun Aug 06 13:47:52 GMT 2023","Sun Aug 06 13:47:52 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Sun Aug 06 13:47:52 GMT 2023","Sun Aug 06 13:47:52 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.SpaceShipTest","com.costa.luiz.testng.SpaceShipTest","checkMeasureToBeMetric","Check the measure to be metric",""
"passed","Sun Aug 06 13:47:52 GMT 2023","Sun Aug 06 13:47:52 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","brakes","brakes",""
"passed","Sun Aug 06 13:47:52 GMT 2023","Sun Aug 06 13:47:52 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendCommunication","sendCommunication",""
"passed","Sun Aug 06 13:47:52 GMT 2023","Sun Aug 06 13:47:52 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"failed","Sun Aug 06 13:47:52 GMT 2023","Sun Aug 06 13:47:52 GMT 2023","9","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","dontFixMe","dontFixMe",""
"unknown","Sun Aug 06 13:47:52 GMT 2023","Sun Aug 06 13:47:52 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","entertainmentSystem","entertainmentSystem",""
"passed","Sun Aug 06 13:47:52 GMT 2023","Sun Aug 06 13:47:52 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Sun Aug 06 13:47:52 GMT 2023","Sun Aug 06 13:47:52 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
